Theme,Variable,Description,Logic_criteria,Criteria
Processes,Autotext20,At current levels macroalgae are unlikley to be limiting coral community resilience on any reefs monitored.,n.reef.m.c.low==0,
Processes,Autotext21,"%s, current levels macroalgae are likley to be limiting coral community resilience at all reefs monitored.",n.reef.m.c.low==n.reef.m,
Processes,Autotext22,"%s, current levels macroalgae are likley to be limiting coral community resilience at %s reefs monitored.",n.reef.m.c.low>0,
Processes,Autotext23,"Despite the cover of hard corals remaining at or above reference levels, there is evidence that the composition of communities have changed. Such changes are evident at %s reefs.",isTRUE(Low.co) & isFALSE(Low.hc)& low.years.co>0,  # comp low - hc ok.
Processes,Autotext24,"Despite the cover of hard corals remaining at or above reference levels, the community composition of communities have remained distinct from those historically observed since %s. Current changes are evident at %s reefs.",isTRUE(Low.co) & isFALSE(Low.hc) & low.years.co>0,  # comp low >1 year - hc ok. 
Processes,Autotext25,In addition to the cover of hard corals remaining within reference levels there is no evidence for region-wide change in the taxonomic composition of coral communities.,isFALSE(Low.co) & isFALSE(Low.hc) & n.reef.co.low==0,"  # comp ok - hc ok, no reef level change"
Processes,Autotext26,"In addition to the cover of hard corals remaining within reference levels there is no evidence for region-wide change in the taxonomic composition of coral communities. However, community composition shifts from that historically observed are evident at %s reefs.",isFALSE(Low.co) & isFALSE(Low.hc) & as.numeric(n.reef.co.low)>0,"  # comp ok - hc ok, some reef level change"
Processes,Autotext27,"In addition to low cover of hard corals, there is evidence that the composition of communities have changed within the region. Such changes are evident at %s reefs.",isTRUE(Low.co) & isTRUE(Low.hc)& low.years.co==0,  # comp low - hc low.
Processes,Autotext28,"In addition to low cover of hard corals, the taxonomic composition of coral communities have remained distinct from those historically observed since %s. Currently changes are evident at %s reefs.",isTRUE(Low.co) & isTRUE(Low.hc) & low.years.co>0,  # comp low >1 year - hc low.
Processes,Autotext29,"Although the cover of hard corals is low, there is no evidence for region-wide change in the taxonomic composition of coral communities.",isFALSE(Low.co) & isFALSE(Low.hc) ,  # comp ok - hc low
Processes,Autotext30,"While the taxonomic composition of coral communities remains distinct from those observed during the historic reference period, they are similar to those more recently observed, suggesting a persistent shift.",isTRUE(Low.co) & isFALSE(Low.co.c),  # new stable state
Processes,Autotext31,"The taxonomic community composition of coral communities are distinct from those observed during the historic reference period but also from those more recently observed, suggesting ongoing changes.",isTRUE(Low.co) & isTRUE(Low.co.c),  # new stable state
Processes,Autotext32,The taxonomic community composition of coral communities remains consistent with those previously observed.,isFALSE(Low.co) & isFALSE(Low.co.c),# comp unchanged
Processes,Autotext32a,"Despite the cover of hard corals remaining at or above reference levels, the community composition of communities have remained distinct from those historically observed since %s. Current changes are evident at %s reefs.",isTRUE(Low.co) & isFALSE(Low.hc) & low.years.co>0,  # comp low >1 year - hc ok. 
Processes,Autotext33,In addition to the cover of hard corals remaining within reference levels there is no evidence for region-wide change in the taxonomic composition of coral communities.,isFALSE(Low.co) & isFALSE(Low.hc) & n.reef.co.low==0,"  # comp ok - hc ok, no reef level change"
Processes,Autotext34,"In addition to the cover of hard corals remaining within reference levels there is no evidence for region-wide change in the taxonomic Community composition of coral communities. However, community Community composition shifts from that historically observed are evident at %s reefs.""",isFALSE(Low.co) & isFALSE(Low.hc) & as.numeric(n.reef.co.low)>0,"  # comp ok - hc ok, some reef level change"
Processes,Autotext35,"In addition to low cover of hard corals, there is evidence that the composition of communities have changed within the region. Such changes are evident at %s reefs.",isTRUE(Low.co) & isTRUE(Low.hc)& low.years.co==0,  # comp low - hc low.
Processes,Autotext35a,"In addition to low cover of hard corals, the Community. Composition of communities have remained distinct from those historically observed since %s. Currently changes are evident at %s reefs.",isTRUE(Low.co) & isTRUE(Low.hc) & low.years.co>0,  # comp low >1 year - hc low.
Processes,Autotext36,"Although the cover of hard corals is low, there is no evidence for region-wide change in the taxonomic community composition of coral communities.",isFALSE(Low.co) & isFALSE(Low.hc) ,  # comp ok - hc low
Processes,Autotext37,"While the taxonomic community composition of coral communities remains distinct from those observed during the historic reference period they are similar to those more recently observed, suggesting a persistent shift.",isTRUE(Low.co) & isFALSE(Low.co.c),  # new stable state
Processes,Autotext38,"In addition to the taxonomic community composition of coral communities remaining distinct from those observed during the historic reference period they are also distinct from those more recently observed, suggesting ongoing changes in community composition.",isTRUE(Low.co) & isTRUE(Low.co.c),  # new stable state
Processes,Autotext39,The taxonomic community composition of coral communities remains consistent over time.,"max(not.comp,not.j,not.pe,not.ma)==0",  # new stable state
Disclaimer,sample.autotext,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, all indicators were assessed at each location.","max(not.comp,not.j,not.pe,not.ma)==0",
Disclaimer,sample.autotext.n1,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s were not available from %s of those locations.","not.j>0 & max(not.comp,not.pe,not.ma)==0",
Disclaimer,sample.autotext.n1,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s were not available from %s of those locations.","not.comp>0 & max(not.j,not.pe,not.ma)==0",
Disclaimer,sample.autotext.n1,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s were not available from %s of those locations.","not.pe>0 & max(not.j,not.comp,not.ma)==0",
Disclaimer,sample.autotext.n1,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s were not available from %s of those locations.","not.ma>0 & max(not.j,not.pe,not.comp)==0",
Disclaimer,sample.autotext.n2,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s and %s were not available from %s and %s of these locations, respectively.","not.j>0 & not.comp>0 & max(not.ma,not.pe)==0",
Disclaimer,sample.autotext.n2,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s and %s were not available from %s and %s of these locations, respectively.","not.j>0 & not.ma>0 & max(not.comp,not.pe)==0",
Disclaimer,sample.autotext.n2,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s and %s were not available from %s and %s of these locations, respectively.","not.j>0 & not.pe>0 & max(not.comp,not.ma)==0",
Disclaimer,sample.autotext.n2,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s and %s were not available from %s and %s of these locations, respectively.","not.pe>0 & not.ma>0 & max(not.comp,not.j)==0",
Disclaimer,sample.autotext.n2,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s and %s were not available from %s and %s of these locations, respectively.","not.pe>0 & not.comp>0 & max(not.ma,not.j)==0",
Disclaimer,sample.autotext.n2,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s and %s were not available from %s and %s of these locations, respectively.","not.ma>0 & not.comp>0 & max(not.pe,not.j)==0",
Disclaimer,sample.autotext.n3,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s, %s and %s were not available from %s, %s and %s of these locations, respectively.",not.ma>0 & not.comp>0 & not.j>0 & not.pe==0,
Disclaimer,sample.autotext.n3,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s, %s and %s were not available from %s, %s and %s of these locations, respectively.",not.ma>0 & not.pe>0 & not.j>0 & not.comp==0,
Disclaimer,sample.autotext.n3,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s, %s and %s were not available from %s, %s and %s of these locations, respectively.",not.ma>0 & not.comp>0 & not.pe>0 & not.j==0,
Disclaimer,sample.autotext.n3,"This synopsis was derived from indicators estimated at %s reef and depth combinations. In %s, the scores for %s, %s and %s were not available from %s, %s and %s of these locations, respectively.",not.pe>0 & not.comp>0 & not.j>0 & not.ma==0,
